reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
9450,55439.9999999986,3.2125005,5534.1075,229200
10950,59280.0000000005,3.2182029,1065.9675,231825
12300,57683.9999999992,3.2178465,1297.92,239175
13650,58848.0000000005,3.2202522,6.3075,240225
12225,106928.000000001,3.2114313,366.3075,236475
12150,84611.9999999996,3.2144607,136.6875,244200
13875,62971.9999999995,3.2162427,4343.4075,251625
14850,64130.0000000001,3.2185593,56.7675,253350
15300,61352.9999999989,3.218292,666.03,253350
20100,58652.9999999994,3.2197176,3706.5675,257775
15075,62270.9999999989,3.2199849,324.48,254400
14850,117275.999999999,3.2103621,209.1675,246750
13425,103739.999999999,3.2099166,2318.52,244200
11625,65727.9999999995,3.2162427,18.75,239925
9375,60000,3.2244399,3748.8675,234000
7125,55788.9999999998,3.2253309,50.43,224400
7200,59500,3.2182029,4185.0675,223425
12000,62035.9999999996,3.2201631,2864.43,231225
13350,57820.0000000011,3.2202522,2619.6075,233775
14775,57600,3.2187375,2028,235200
15825,54942.9999999999,3.2216778,5117.07,237375
19275,44889,3.2207868,4493.07,241350
20400,47190.9999999996,3.2190939,194.4075,244650
18600,44269.9999999995,3.2233707,2260.5075,238350
18300,47199.999999999,3.2239053,157.6875,236625
19425,54765.0000000004,3.2233707,1485.1875,235950
17850,49770.0000000002,3.2246181,1.47,235125
18825,47240.0000000006,3.2198067,867,236025
17025,47073.0000000001,3.219183,6088.5075,235275
12000,45144.0000000011,3.2287167,363,228975
12900,46359.9999999991,3.2267565,108,238500
12750,50482.0000000008,3.2264001,142.83,238875
14100,50599.9999999997,3.2280039,67.6875,241950
13275,51344.9999999987,3.2290731,772.8075,234375
11700,58310.0000000011,3.2349537,3612.27,227700
10350,52780.9999999999,3.2365575,49.2075,225900
16275,40404.0000000005,3.2337063,353.1675,224100
23325,31229.9999999997,3.2024538,117.1875,227475
16950,35650.0000000003,3.2438637,2360.4075,228750
13875,53279.9999999989,3.2398542,1361.07,228450
16200,144745.999999999,3.2291622,3942.1875,238725
18450,211603.000000002,3.1881654,6169.8675,246000
19875,156263.999999999,3.1970736,2827.47,249300
15600,42669.9999999986,3.2500116,1310.43,245025
11850,42504.0000000016,3.246804,97.47,239025
10500,42735.0000000005,3.2472495,3376.8075,235125
7575,47969.9999999996,3.2515263,617.7675,228900
34800,48912.9299999992,3.1767597,514.83,225225
40275,52428.0399999993,3.138048,5364.5625,221250
21825,70325.6399999987,3.214449,1677.9675,216075
42600,155966.579999999,3.0979215,2891.1168,213900
29700,173621.25,3.1667202,3560.4075,213900
15825,154780.000000001,3.2055408,4040.67,222300
19050,43243.9999999995,3.2466258,3.9675,226200
10275,42805.000000001,3.2555358,1966.08,226500
14100,73087.0000000001,3.2511699,1354.6875,225675
35550,88481.2500000008,3.1805136,2967.3075,224775
32550,88416.9000000008,3.181212,4073.7675,227325
12075,59219.9999999999,3.2546448,182.52,224925
